Begin,End,Label,Type,Speaker
4.76,4.85,j,phones,temp_test2
4.85,4.97,e˥˩,phones,temp_test2
4.97,5.09,n,phones,temp_test2
5.09,5.13,j,phones,temp_test2
5.13,5.18,e˨˩˦,phones,temp_test2
5.18,5.28,p,phones,temp_test2
5.28,5.38,aw˥,phones,temp_test2
5.38,5.44,kʰ,phones,temp_test2
5.44,5.48,w,phones,temp_test2
5.48,5.51,o˥˩,phones,temp_test2
5.51,5.57,tʰ,phones,temp_test2
5.57,5.65,a˥,phones,temp_test2
5.65,5.74,t,phones,temp_test2
5.74,5.81,ə,phones,temp_test2
5.81,5.9,ʈʂ,phones,temp_test2
5.9,5.96,ej˥˩,phones,temp_test2
5.96,6.05,k,phones,temp_test2
6.05,6.32,ə,phones,temp_test2
6.78,6.83,tʰ,phones,temp_test2
6.83,6.89,a˥,phones,temp_test2
6.89,6.93,t,phones,temp_test2
6.93,6.97,ə,phones,temp_test2
6.97,7.1,x,phones,temp_test2
7.1,7.2,ow˥˩,phones,temp_test2
7.2,7.27,tʰ,phones,temp_test2
7.27,7.38,aj˥,phones,temp_test2
7.38,7.44,t,phones,temp_test2
7.44,7.57,ə,phones,temp_test2
7.57,7.72,ɕ,phones,temp_test2
7.72,7.83,aw˥˩,phones,temp_test2
7.83,7.88,ʎ,phones,temp_test2
7.88,7.99,y˥˩,phones,temp_test2
7.99,8.14,tʲ,phones,temp_test2
8.14,8.2,i˨˩˦,phones,temp_test2
8.2,8.3,ʂ,phones,temp_test2
8.3,8.35,o˥,phones,temp_test2
8.35,8.42,ŋ,phones,temp_test2
8.42,8.49,t,phones,temp_test2
8.49,8.54,o˨˩˦,phones,temp_test2
8.54,8.62,ŋ,phones,temp_test2
8.62,8.67,t,phones,temp_test2
8.67,8.74,o˨˩˦,phones,temp_test2
8.74,8.79,ŋ,phones,temp_test2
8.79,8.84,w,phones,temp_test2
8.84,8.87,o˨˩˦,phones,temp_test2
8.87,8.92,ɕ,phones,temp_test2
8.92,8.99,a˥,phones,temp_test2
8.99,9.05,ŋ,phones,temp_test2
9.05,9.1,ɕ,phones,temp_test2
9.1,9.13,i˥˩,phones,temp_test2
9.13,9.18,n,phones,temp_test2
9.21,9.28,ʈʂ,phones,temp_test2
9.28,9.33,ej˥˩,phones,temp_test2
9.33,9.43,ɕ,phones,temp_test2
9.43,9.63,e˨˩˦,phones,temp_test2
10.1,10.49,o˧˥,phones,temp_test2
10.6,10.86,o˧˥,phones,temp_test2
10.86,11.03,j,phones,temp_test2
11.03,11.1,e˥˩,phones,temp_test2
11.1,11.18,tɕ,phones,temp_test2
11.18,11.26,e˥˩,phones,temp_test2
11.26,11.3,t,phones,temp_test2
11.3,11.34,ə,phones,temp_test2
11.34,11.44,tɕ,phones,temp_test2
11.44,11.48,e˨˩˦,phones,temp_test2
11.48,11.51,tɕʷ,phones,temp_test2
11.51,11.57,e˧˥,phones,temp_test2
11.57,11.66,f,phones,temp_test2
11.66,11.71,a˧˥,phones,temp_test2
11.71,11.75,ŋ,phones,temp_test2
11.75,11.8,ʔ,phones,temp_test2
11.8,11.84,a˥˩,phones,temp_test2
11.84,11.97,n,phones,temp_test2
11.97,12.0,i˥,phones,temp_test2
12.0,12.06,ŋ,phones,temp_test2
12.06,12.15,k,phones,temp_test2
12.15,12.26,aj˥,phones,temp_test2
12.26,12.36,ʂ,phones,temp_test2
12.36,12.49,w,phones,temp_test2
12.49,12.54,o˥,phones,temp_test2
12.54,12.68,ʂ,phones,temp_test2
12.68,12.95,ʐ̩˥˩,phones,temp_test2
